AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
3.678,1.0606782861292665,0.0,0.0,2.5988,434
6.397,0.333,93.8,0.0,6.0309,1405
4.825,0.627,43.88,0.0,2.9880000000000004,1287
10.49,1.382,328.1,138.2,24.605,808
5.257,0.338,158.4,0.0,4.2826,1306
4.703,0.592,210.1,0.0,3.6193999999999997,302
5.533,0.348,173.3,0.0,2.2454,1212
4.551,0.153,315.1,0.0,1.8189999999999997,1175
4.504,0.947,214.7,0.0,3.5667999999999997,388
4.335,1.422,263.7,0.0,1.1303,235
5.495,0.938,42.61,0.0,2.0815,1195
7.842,0.76,8.48,-0.202,6.5646,1010
4.629,0.705,200.4,0.0,3.4875999999999996,305
5.453,1.068,190.8,0.0,2.195,117
5.413,0.162,11.05,0.0,1.8056999999999999,1163
9.09,2.873,295.8,135.0,16.955,673
4.895,0.952,264.3,0.0,2.6817,249
6.348,0.468,155.7,0.0,3.5105000000000004,1052
6.906,0.283,91.3,0.0,4.104699999999999,1039
6.292,1.57,225.0,0.0,5.054399999999999,71
5.893,1.097,225.0,0.0,3.1198000000000006,94
10.89,0.713,283.4,44.36,16.579,952
6.609,3.352,234.8,0.0,5.5461,33
4.768,0.192,62.2,0.0,3.3927,1292
3.139,0.392,121.3,-0.417,1.8292000000000002,448
3.261,0.497,117.4,-0.123,1.9035000000000004,445
10.39,1.445,302.2,123.4,24.767000000000003,817
6.155,0.283,41.57,0.0,2.3290999999999995,1099
6.112,0.113,32.79,0.0,2.8464,1068
10.62,1.1,7.641,33.08,13.485,965
6.236,1.228,217.6,0.0,4.6859,77
6.088,1.975,237.4,0.0,3.8442,84
5.31,0.17,336.0,0.0,2.3971000000000005,1243
6.018,1.447,210.6,0.0,4.0672,82
2.731,0.745,118.2,0.165,1.7216999999999998,457
10.81,2.493,301.0,132.0,23.240999999999996,846
9.18,1.338,345.4,146.5,18.32,676
5.344,0.335,203.0,0.0,3.7815,1299
7.06,0.432,92.4,0.0,4.269,1037
3.654,1.0606782861292665,0.0,0.0,2.4516999999999998,436
8.55,1.0606782861292665,0.0,91.4,16.686,644
10.12,3.07,303.4,192.1,24.004,754
7.834,0.678,354.8,-0.072,6.647200000000001,1009
5.662,0.283,26.61,0.0,1.6439999999999997,1146
4.288,1.0606782861292665,0.0,0.0,3.4654000000000003,404
5.27,0.357,50.65,0.0,2.2125999999999997,1253
6.189,0.335,192.4,0.0,3.4111,1054
5.449,0.678,60.8,0.0,2.0363999999999995,1185
5.531,1.97,221.3,0.0,2.6231999999999998,104
7.756,1.0606782861292665,0.0,55.58,12.614,609
10.28,1.868,342.6,159.7,24.275,809
5.482,0.087,308.3,0.0,1.8656000000000001,1124
11.35,2.1,290.5,158.4,24.752,858
6.409,1.737,237.8,0.0,5.291200000000001,62
4.914,0.745,225.4,0.0,3.6500999999999997,281
11.23,0.583,280.9,78.58,19.067,933
4.653,0.953,250.6,0.0,1.5913999999999997,238
4.146,0.788,235.2,0.0,0.11670000000000003,223
3.673,0.553,218.9,0.0,0.8663000000000001,145
6.101,0.358,65.31,0.0,5.6635,1344
4.39,0.577,171.0,0.0,3.403,373
5.417,0.863,194.2,0.0,2.2157,118
6.365,0.298,21.53,0.0,2.4924000000000004,1083
4.949,1.778,271.4,0.0,2.788,250
6.204,0.29,51.61,0.0,5.8721,1387
6.762,2.26,223.0,0.0,5.983400000000001,9
3.173,0.387,110.5,-0.37,1.8111000000000002,449
